state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date,number_of_hospitals_fewer,number_of_hospitals_average,number_of_hospitals_more,number_of_hospitals_too_small
WA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,68,0,20,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,6,20,8,79
WI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,37,37,21,31
WI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,26,53,20,27
WI,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),1,120,3,4,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,83,0,11,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,54,0,53,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,54,0,53,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,65,0,32,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,37,0,75,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_CABG,Rate of readmission for CABG,0,20,0,4,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,65,0,59,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,94,1,31,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,28,1,67,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,99,0,27,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,3,6,4,32
WV,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,4,13,16,16
WV,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,8,12,18,11
WV,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),5,38,0,7,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,24,0,11,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,17,1,17,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,18,0,17,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,22,0,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,14,0,31,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_CABG,Rate of readmission for CABG,1,5,0,1,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,34,0,15,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,32,0,16,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,17,0,14,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,38,0,11,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,0,3,0,18
WY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,8,8,0,12
WY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,5,12,5,6
WY,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,28,0,1,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,15,0,2,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,11,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,11,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,14,0,5,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,4,0,17,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_CABG,Rate of readmission for CABG,0,2,0,0,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,11,0,18,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,16,0,12,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
